model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),Operating System,graphics,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price,gpu_brand,gpu_type,gpu_vram,gpu_series,cpu_brand,cpu_family,cpu_generation,cpu_series
HP 15s-fq2717TU Laptop,HP,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,56,41900,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Lenovo V15 ‎82C70005UK Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,60,38480,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Lenovo V15 82KDA00XIH Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,55,38489,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Lenovo E41-55 82FJ00AGIH Laptop,Lenovo,Athlon Gold 3150U,4,256,0,Windows,AMD RADEON RADEON,14.0,1920 x 1080,2,4,41,18990,AMD,Integrated,0,OTHER,AMD,ATHLON,0,U
Asus VivoBook 15 X1500EA-EJ322WS Laptop,Asus,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,41,35978,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
HP Victus 15-fa0165TX Laptop,HP,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,8,12,73,69990,NVIDIA,Dedicated,4,GTX,INTEL,CORE I5,12,OTHER
HP 15s-FR2511TU Laptop,HP,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,60,40880,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Asus TUF Gaming A17 FA706IHRB-HX041W Gaming Laptop,Asus,AMD Ryzen 5 4600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,17.3,1920 x 1080,6,12,67,52990,NVIDIA,Dedicated,4,GTX,AMD,RYZEN 5,4000,H
HP Pavilion 15-eg2009TU Laptop,HP,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,12,16,62,62990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP 15s- eq2212AU Laptop,HP,AMD Ryzen 3 5300U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,4,8,59,37990,AMD,Integrated,0,OTHER,AMD,RYZEN 3,5000,U
Dell Inspiron 3520 Laptop,Dell,12th Gen Core i5,8,256,1000,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,53,57990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP 245 G8 62G68PA Laptop,HP,AMD Ryzen 3 3250U,8,0,1000,Windows,AMD RADEON,14.0,1920 x 1080,2,4,59,27890,AMD,Integrated,0,OTHER,AMD,RYZEN 3,3000,U
Acer One 14 Z2-493 Laptop,Acer,AMD Ryzen 3 3250U,4,256,0,Windows,AMD RADEON RADEON,14.0,1366 x 768,2,4,50,20990,AMD,Integrated,0,OTHER,AMD,RYZEN 3,3000,U
Acer Aspire 7 A715-51G NH.QGCSI.001 Gaming Laptop,Acer,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,12,16,74,64990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
Dell Inspiron 5320 Laptop,Dell,12th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED UHD,13.3,1920 x 1080,12,16,65,84918,INTEL,Integrated,0,UHD,INTEL,CORE I7,12,OTHER
MSI Bravo 15 B5DD-410IN Gaming Laptop,MSI,Ryzen 5 5600H,8,512,0,Windows,4 GB AMD RADEON RX 5500M,15.6,1920 x 1080,6,12,68,47990,AMD,Dedicated,4,RX,AMD,RYZEN 5,5000,H
Lenovo IdeaPad Flex 5 82R9008GIN Laptop,Lenovo,AMD Ryzen 5 5500U,16,512,0,Windows,AMD RADEON,14.0,1920 x 1200,6,12,74,61100,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
HP Victus 15-fa0070TX Laptop,HP,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,8,12,71,67990,NVIDIA,Dedicated,4,GTX,INTEL,CORE I5,12,OTHER
Lenovo IdeaPad Slim 1 82R10049IN Laptop,Lenovo,AMD Ryzen 3 3250U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,2,4,60,34300,AMD,Integrated,0,OTHER,AMD,RYZEN 3,3000,U
Asus Vivobook S15 OLED K3502ZA-L501WS Laptop,Asus,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,12,16,65,73000,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Lenovo IdeaPad D330 82H0001YIN Laptop,Lenovo,Celeron N4020,4,0,128,Windows,INTEL UHD 600,10.1,1200 x 800,4,2,49,22999,INTEL,Integrated,0,UHD,INTEL,CELERON,0,OTHER
Infinix INBook X1 XL11 Laptop,Infinix,10th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,2,4,44,37999,INTEL,Integrated,0,UHD,INTEL,CORE I3,10,OTHER
Realme Book Slim Laptop,Realme,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1440 x 2160,4,8,61,39990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Infinix Zero Book Series ZL12 Laptop,Infinix,12th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,14,20,63,64990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Asus VivoBook 15 X1500EA-EJ701W Laptop,Asus,11th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,63,56799,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,11,OTHER
Lenovo IdeaPad Gaming 3 82K201YAIN Laptop,Lenovo,AMD Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,69,55990,NVIDIA,Dedicated,4,GTX,AMD,RYZEN 5,5000,H
Asus Vivobook Pro 14 OLED M3400QA-KM502WS Gaming Laptop,Asus,Ryzen 5 5600H,8,512,0,Windows,AMD RADEON,14.0,2880 x 1800,6,12,69,53000,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,H
HP Pavilion x360 14-ek0074TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,1920 x 1080,10,12,68,73490,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Lenovo IdeaPad Gaming 3 82K201UEIN Laptop,Lenovo,AMD Ryzen 5-5600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,69,58490,NVIDIA,Dedicated,4,GTX,AMD,RYZEN 5,5000,H
Asus Vivobook Pro 15 OLED M6500IH-HN701WS Laptop,Asus,Ryzen 7-4800H,16,512,0,Windows,4 GB NVIDIA GTX 1650 MAX Q,15.6,1920 x 1080,8,16,69,58990,NVIDIA,Dedicated,4,GTX,AMD,RYZEN 7,4000,H
Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop,Asus,AMD Ryzen 5 4600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,69,54990,NVIDIA,Dedicated,4,GTX,AMD,RYZEN 5,4000,H
HP Victus 15-fb0050AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,72,67600,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 5,5000,H
Lenovo IdeaPad Slim 5 82SF008YIN Laptop,Lenovo,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,66,72490,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop,Acer,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 2050,15.6,1920 x 1080,12,16,69,62990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
Asus VivoBook 15 X1500EA-EJ322WS Laptop,Asus,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,41,35325,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
HP 14s-dy5005TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED INTEL IRIS XE,14.0,1920 x 1080,10,12,57,63990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Asus Vivobook 15 2022 X1502ZA-EJ312WS Laptop,Asus,12th Gen Core i3,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,54,42300,INTEL,Integrated,0,IRIS XE,INTEL,CORE I3,12,OTHER
Lenovo IdeaPad Slim 3 82RK0062IN Laptop,Lenovo,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,55,58490,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
MSI Thin GF63 11SC-852IN Gaming Laptop,MSI,11th Gen Core i7,8,512,0,Windows,4 GB NVIDIA GTX 1650 MAX Q,15.6,1920 x 1080,8,16,73,64000,NVIDIA,Dedicated,4,GTX,INTEL,CORE I7,11,OTHER
Asus Zenbook 17 Fold UX9702AA-MD023WS Laptop,Asus,12th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,17.3,2560 x 1920,10,12,80,329990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Nokia PureBook S14 NKi511TL165S Laptop,Nokia,11th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,14.1,1920 x 1080,4,8,62,40990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,11,OTHER
Dell Latitude 3420 Laptop,Dell,11th Gen Core i5,8,512,0,Windows,INTEL UHD,14.0,1366 x 768,4,8,56,73740,INTEL,Integrated,0,UHD,INTEL,CORE I5,11,OTHER
Acer Aspire 3 A315-24 Laptop,Acer,Ryzen 5 7520U,8,512,0,Windows,AMD RADEON GRAPHIICS,15.6,1920 x 1080,4,8,56,52490,AMD,Integrated,0,OTHER,AMD,RYZEN 5,7000,U
HP 14s-dq2649TU Laptop,HP,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,2,4,57,45500,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop,Samsung,12th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,10,12,60,67990,INTEL,Integrated,0,UHD,INTEL,CORE I5,12,OTHER
Samsung Galaxy Book 3 Pro NP960XFG-KC1IN Laptop,Samsung,13th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,16.0,2880 x 1800,12,16,73,149990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,13,OTHER
Samsung Galaxy Book 3 Pro 14 NP940XFG-KC4IN Laptop,Samsung,13th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,12,16,72,139990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,13,OTHER
Samsung Galaxy Book 3 Pro 14 NP940XFG-KC5IN Laptop,Samsung,13th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,12,16,74,155990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,13,OTHER
Samsung Galaxy Book 3 Pro 14 NP940XFG-KC1IN Laptop,Samsung,13th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,12,16,71,131990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,13,OTHER
Samsung Galaxy Book 3 360 15 NP750QFG-KA2IN Laptop,Samsung,13th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,12,16,71,114990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,13,OTHER
Lenovo V15 ‎82C70005UK Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,60,38490,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Samsung Galaxy Book 3 360 13 NP730QFG-KA1IN Laptop,Samsung,13th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,13.3,1920 x 1080,10,12,67,109990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,13,OTHER
Samsung Galaxy Book 3 360 13 NP730QFG-KA3IN Laptop,Samsung,13th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,13.3,1920 x 1080,10,12,69,133990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,13,OTHER
Samsung Galaxy Book 3 360 13 NP730QFG-KA2IN Laptop,Samsung,13th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,13.3,1920 x 1080,10,12,67,117990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,13,OTHER
Samsung Galaxy Book 3 Pro 360 NP960QFG-KA2IN Laptop,Samsung,13th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,16.0,2880 x 1800,12,16,75,155990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,13,OTHER
Samsung Galaxy Book 3 Pro NP960XFG-KC2IN Laptop,Samsung,13th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,16.0,2880 x 1800,12,16,74,165990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,13,OTHER
Samsung Galaxy Book 3 Pro 360 NP960QFG-KA1IN Laptop,Samsung,13th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,16.0,2880 x 1800,12,16,81,163990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,13,OTHER
Samsung Galaxy Book 3 360 NP750QFG-KA1IN Laptop,Samsung,13th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,12,16,73,122990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,13,OTHER
Samsung Galaxy Book 3 Pro 360 NP960QFG-KA3IN Laptop,Samsung,13th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,16.0,2880 x 1800,12,16,82,179990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,13,OTHER
Lenovo IdeaPad Gaming 3 82K1017WIN Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,4,8,71,52900,NVIDIA,Dedicated,4,GTX,INTEL,CORE I5,11,OTHER
Acer One 14 Z2-493 Laptop,Acer,AMD Ryzen 3 3250U,8,256,0,Windows,AMD RADEON,14.0,1366 x 768,2,4,53,25990,AMD,Integrated,0,OTHER,AMD,RYZEN 3,3000,U
Dell Inspiron 3525 D560789WIN9S Laptop,Dell,AMD Ryzen 5-5625U,8,512,0,Windows,AMD RADEON RADEON,15.6,1920 x 1080,6,12,68,49441,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Acer Aspire 3 A315-59 Laptop,Acer,12th Gen Core i3,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,6,8,54,39990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I3,12,OTHER
Lenovo IdeaPad Gaming 3 82K201Y9IN Laptop,Lenovo,AMD Ryzen 5-5600H,8,256,1000,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,73,56990,NVIDIA,Dedicated,4,GTX,AMD,RYZEN 5,5000,H
Lenovo IdeaPad Flex 5 82R9008GIN Laptop,Lenovo,AMD Ryzen 5 5500U,16,512,0,Windows,AMD RADEON,14.0,1920 x 1200,6,12,74,61590,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
HP Pavilion 15s-eq2182AU Laptop,HP,Ryzen 5 5500U,16,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,63,49123,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
HP Victus 15-fa0350TX Laptop,HP,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,12,75,77990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I5,12,OTHER
Asus TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop,Asus,AMD Ryzen 7 6800H,16,512,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,8,16,80,96085,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 7,6000,H
HP Victus 16-e0352AX Gaming Laptop,HP,Ryzen 5-5600H,8,512,0,Windows,4 GB NVIDIA RTX 3050,16.1,1920 x 1080,6,12,72,63990,NVIDIA,Dedicated,4,RTX,AMD,RYZEN 5,5000,H
Asus TUF Gaming F15 FX506LHB-HN355WS Gaming Laptop,Asus,10th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,4,8,63,54990,NVIDIA,Dedicated,4,GTX,INTEL,CORE I5,10,OTHER
HP Pavilion 15-eg2002TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL IRIS Xᵉ,15.6,1920 x 1080,12,16,65,69990,INTEL,Integrated,0,OTHER,INTEL,CORE I5,12,OTHER
Samsung Galaxy Book2 Pro 360 15 Laptop,Samsung,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,15.6,1080 x 1920,8,16,74,129990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Dell Vostro 3510 Laptop,Dell,11th Gen Core i3,8,256,1000,Windows,INTEL UHD,15.6,1920 x 1080,2,4,56,37990,INTEL,Integrated,0,UHD,INTEL,CORE I3,11,OTHER
Asus VivoBook K15 OLED KM513UA-L503WS Laptop,Asus,Ryzen 5 5500U,8,256,1000,Windows,AMD RADEON AMD,15.6,1920 x 1080,6,12,65,47990,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
HP 14s-fq1092au Laptop,HP,Ryzen 5 5500U,8,512,0,Windows,AMD RADEON AMD,14.0,1920 x 1080,6,12,65,46058,AMD,Integrated,0,OTHER,AMD,RYZEN 5,5000,U
Microsoft Surface Laptop Go 1943 THJ-00023 Laptop,Microsoft,10th Gen Core i5,8,256,0,Windows,INTEL INTEGRATED UHD,12.4,1536 x 1024,4,8,55,67000,INTEL,Integrated,0,UHD,INTEL,CORE I5,10,OTHER
HP 245 G8 689T3PA Laptop,HP,AMD Ryzen 3 3250U,8,512,0,Windows,AMD RADEON,14.0,1366 x 768,2,4,59,27989,AMD,Integrated,0,OTHER,AMD,RYZEN 3,3000,U
Lenovo IdeaPad 3i ‎82RJ005BUS Laptop,Lenovo,12th Gen Core i5,8,256,0,Windows,INTEL IRIS XE INTEGRATED,14.0,1920 x 1080,10,12,62,49990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
Apple MacBook Pro 16 inch Laptop,Apple,M2 Max 12-core CPU,32,1000,0,Mac,38-CORE GPU,16.2,3456 x 2234,12,0,66,349900,OTHER,Integrated,0,OTHER,APPLE,M2,2,APPLE
Samsung Galaxy Book 2 NP550XED-KA3IN Laptop,Samsung,12th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,10,12,63,72990,INTEL,Integrated,0,UHD,INTEL,CORE I7,12,OTHER
Asus VivoBook 15 K513EP-BQ1093T Laptop,Asus,11th Gen Core i5,8,512,0,Windows,2 GBNVIDIA MX330,15.6,1920 x 1080,4,8,54,45990,NVIDIA,Dedicated,2,MX,INTEL,CORE I5,11,OTHER
Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,4,8,72,54990,NVIDIA,Dedicated,4,GTX,INTEL,CORE I5,11,OTHER
Asus VivoBook 14 X415EA-EK701WS Laptop,Asus,11th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,4,8,69,56990,INTEL,Integrated,0,UHD,INTEL,CORE I7,11,OTHER
Asus VivoBook 14 2022 X1402ZA-EK312WS Laptop,Asus,12th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,1920 x 1080,10,12,61,40990,INTEL,Integrated,0,IRIS XE,INTEL,CORE I3,12,OTHER
HP 247 G8 600A9PA Laptop,HP,AMD Ryzen 3 5300U,8,512,0,Windows,AMD RADEON,14.0,1366 x 768,4,8,61,32999,AMD,Integrated,0,OTHER,AMD,RYZEN 3,5000,U
Asus Vivobook Pro 16 OLED K6602HC-N1902WS Gaming Laptop,Asus,11th Gen Core i9,16,512,0,Windows,4 GB NVIDIA RTX 3050,16.0,1200 x 1920,8,16,75,87990,NVIDIA,Dedicated,4,RTX,INTEL,CORE I9,11,OTHER
Acer Swift 3 OLED SF314-71 NX.KAVSI.001 Laptop,Acer,12th Gen Core i7,16,1000,0,Windows,INTEL INTEGRATED IRIS XE,14.0,2880 x 1800,14,20,69,115999,INTEL,Integrated,0,IRIS XE,INTEL,CORE I7,12,OTHER
Dell Latitude 3430 Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1366 x 768,10,12,59,108000,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP Pavilion 15-eg2018TX Laptop,HP,12th Gen Core i5,16,512,0,Windows,2 GBNVIDIA MX550,15.6,1920 x 1080,10,12,56,75070,NVIDIA,Dedicated,2,MX,INTEL,CORE I5,12,OTHER
Microsoft Surface Pro 9 QEZ-00065 Laptop,Microsoft,12th Gen Core i5,8,256,0,Windows,INTEL IRIS XE,13.0,2880 x 1920,10,12,51,99999,INTEL,Integrated,0,IRIS XE,INTEL,CORE I5,12,OTHER
HP 247 G8 ‎6B5R3PA Laptop,HP,AMD Ryzen 3 5300U,8,512,0,DOS,AMD RADEON,14.0,1366 x 768,4,8,56,30020,AMD,Integrated,0,OTHER,AMD,RYZEN 3,5000,U
HP Omen 16-n0079AX Gaming Laptop,HP,AMD Ryzen 7 6800H,16,512,0,Windows,8 GB AMD RADEON RX 6650M,16.1,1920 x 1080,8,16,81,108290,AMD,Dedicated,8,RX,AMD,RYZEN 7,6000,H
