model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),Operating System,graphics,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price
HP Victus 15-fa0165TX Laptop,HP,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,8,12,73,69990
HP 15s-FR2511TU Laptop,HP,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,60,40880
Asus TUF Gaming A17 FA706IHRB-HX041W Gaming Laptop,Asus,AMD Ryzen 5 4600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,17.3,1920 x 1080,6,12,67,52990
HP Pavilion 15-eg2009TU Laptop,HP,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,12,16,62,62990
HP 15s- eq2212AU Laptop,HP,AMD Ryzen 3 5300U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,4,8,59,37990
Dell Inspiron 3520 Laptop,Dell,12th Gen Core i5,8,256,1000,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,53,57990
HP 245 G8 62G68PA Laptop,HP,AMD Ryzen 3 3250U,8,0,1000,Windows,AMD RADEON,14.0,1920 x 1080,2,4,59,27890
Acer One 14 Z2-493 Laptop,Acer,AMD Ryzen 3 3250U,4,256,0,Windows,AMD RADEON RADEON,14.0,1366 x 768,2,4,50,20990
Acer Aspire 7 A715-51G NH.QGCSI.001 Gaming Laptop,Acer,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,12,16,74,64990
Dell Inspiron 5320 Laptop,Dell,12th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED UHD,13.3,1920 x 1080,12,16,65,84918
MSI Bravo 15 B5DD-410IN Gaming Laptop,MSI,Ryzen 5 5600H,8,512,0,Windows,4 GB AMD RADEON RX 5500M,15.6,1920 x 1080,6,12,68,47990
Lenovo IdeaPad Flex 5 82R9008GIN Laptop,Lenovo,AMD Ryzen 5 5500U,16,512,0,Windows,AMD RADEON,14.0,1920 x 1200,6,12,74,61100
HP Victus 15-fa0070TX Laptop,HP,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,8,12,71,67990
Lenovo IdeaPad Slim 1 82R10049IN Laptop,Lenovo,AMD Ryzen 3 3250U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,2,4,60,34300
Asus Vivobook S15 OLED K3502ZA-L501WS Laptop,Asus,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,12,16,65,73000
Lenovo IdeaPad D330 82H0001YIN Laptop,Lenovo,Celeron N4020,4,0,128,Windows,INTEL UHD 600,10.1,1200 x 800,4,2,49,22999
Infinix INBook X1 XL11 Laptop,Infinix,10th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,2,4,44,37999
Realme Book Slim Laptop,Realme,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1440 x 2160,4,8,61,39990
Infinix Zero Book Series ZL12 Laptop,Infinix,12th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,14,20,63,64990
Asus VivoBook 15 X1500EA-EJ701W Laptop,Asus,11th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,63,56799
Lenovo IdeaPad Gaming 3 82K201YAIN Laptop,Lenovo,AMD Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,69,55990
Asus Vivobook Pro 14 OLED M3400QA-KM502WS Gaming Laptop,Asus,Ryzen 5 5600H,8,512,0,Windows,AMD RADEON,14.0,2880 x 1800,6,12,69,53000
HP Pavilion x360 14-ek0074TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,1920 x 1080,10,12,68,73490
Lenovo IdeaPad Gaming 3 82K201UEIN Laptop,Lenovo,AMD Ryzen 5-5600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,69,58490
Asus Vivobook Pro 15 OLED M6500IH-HN701WS Laptop,Asus,Ryzen 7-4800H,16,512,0,Windows,4 GB NVIDIA GTX 1650 MAX Q,15.6,1920 x 1080,8,16,69,58990
Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop,Asus,AMD Ryzen 5 4600H,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,69,54990
HP Victus 15-fb0050AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,72,67600
Lenovo IdeaPad Slim 5 82SF008YIN Laptop,Lenovo,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,66,72490
Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop,Acer,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 2050,15.6,1920 x 1080,12,16,69,62990
Asus VivoBook 15 X1500EA-EJ322WS Laptop,Asus,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,41,35325
HP 14s-dy5005TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED INTEL IRIS XE,14.0,1920 x 1080,10,12,57,63990
Asus Vivobook 15 2022 X1502ZA-EJ312WS Laptop,Asus,12th Gen Core i3,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,54,42300
Lenovo IdeaPad Slim 3 82RK0062IN Laptop,Lenovo,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,55,58490
MSI Thin GF63 11SC-852IN Gaming Laptop,MSI,11th Gen Core i7,8,512,0,Windows,4 GB NVIDIA GTX 1650 MAX Q,15.6,1920 x 1080,8,16,73,64000
Asus Zenbook 17 Fold UX9702AA-MD023WS Laptop,Asus,12th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,17.3,2560 x 1920,10,12,80,329990
Nokia PureBook S14 NKi511TL165S Laptop,Nokia,11th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,14.1,1920 x 1080,4,8,62,40990
Dell Latitude 3420 Laptop,Dell,11th Gen Core i5,8,512,0,Windows,INTEL UHD,14.0,1366 x 768,4,8,56,73740
Acer Aspire 3 A315-24 Laptop,Acer,Ryzen 5 7520U,8,512,0,Windows,AMD RADEON GRAPHIICS,15.6,1920 x 1080,4,8,56,52490
HP 14s-dq2649TU Laptop,HP,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,2,4,57,45500
Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop,Samsung,12th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,10,12,60,67990
Samsung Galaxy Book 3 Pro NP960XFG-KC1IN Laptop,Samsung,13th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,16.0,2880 x 1800,12,16,73,149990
Samsung Galaxy Book 3 Pro 14 NP940XFG-KC4IN Laptop,Samsung,13th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,12,16,72,139990
Samsung Galaxy Book 3 Pro 14 NP940XFG-KC5IN Laptop,Samsung,13th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,12,16,74,155990
Samsung Galaxy Book 3 Pro 14 NP940XFG-KC1IN Laptop,Samsung,13th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,2880 x 1800,12,16,71,131990
Samsung Galaxy Book 3 360 15 NP750QFG-KA2IN Laptop,Samsung,13th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,12,16,71,114990
Lenovo V15 ‎82C70005UK Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,60,38490
Samsung Galaxy Book 3 360 13 NP730QFG-KA1IN Laptop,Samsung,13th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,13.3,1920 x 1080,10,12,67,109990
Samsung Galaxy Book 3 360 13 NP730QFG-KA3IN Laptop,Samsung,13th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,13.3,1920 x 1080,10,12,69,133990
Samsung Galaxy Book 3 360 13 NP730QFG-KA2IN Laptop,Samsung,13th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,13.3,1920 x 1080,10,12,67,117990
Samsung Galaxy Book 3 Pro 360 NP960QFG-KA2IN Laptop,Samsung,13th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,16.0,2880 x 1800,12,16,75,155990
Samsung Galaxy Book 3 Pro NP960XFG-KC2IN Laptop,Samsung,13th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,16.0,2880 x 1800,12,16,74,165990
Samsung Galaxy Book 3 Pro 360 NP960QFG-KA1IN Laptop,Samsung,13th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,16.0,2880 x 1800,12,16,81,163990
Samsung Galaxy Book 3 360 NP750QFG-KA1IN Laptop,Samsung,13th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,12,16,73,122990
Samsung Galaxy Book 3 Pro 360 NP960QFG-KA3IN Laptop,Samsung,13th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,16.0,2880 x 1800,12,16,82,179990
Lenovo IdeaPad Gaming 3 82K1017WIN Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,4,8,71,52900
Acer One 14 Z2-493 Laptop,Acer,AMD Ryzen 3 3250U,8,256,0,Windows,AMD RADEON,14.0,1366 x 768,2,4,53,25990
Dell Inspiron 3525 D560789WIN9S Laptop,Dell,AMD Ryzen 5-5625U,8,512,0,Windows,AMD RADEON RADEON,15.6,1920 x 1080,6,12,68,49441
Acer Aspire 3 A315-59 Laptop,Acer,12th Gen Core i3,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,6,8,54,39990
Lenovo IdeaPad Gaming 3 82K201Y9IN Laptop,Lenovo,AMD Ryzen 5-5600H,8,256,1000,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,73,56990
Lenovo IdeaPad Flex 5 82R9008GIN Laptop,Lenovo,AMD Ryzen 5 5500U,16,512,0,Windows,AMD RADEON,14.0,1920 x 1200,6,12,74,61590
HP Pavilion 15s-eq2182AU Laptop,HP,Ryzen 5 5500U,16,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,63,49123
HP Victus 15-fa0350TX Laptop,HP,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,12,75,77990
Asus TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop,Asus,AMD Ryzen 7 6800H,16,512,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,8,16,80,96085
HP Victus 16-e0352AX Gaming Laptop,HP,Ryzen 5-5600H,8,512,0,Windows,4 GB NVIDIA RTX 3050,16.1,1920 x 1080,6,12,72,63990
Asus TUF Gaming F15 FX506LHB-HN355WS Gaming Laptop,Asus,10th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,4,8,63,54990
HP Pavilion 15-eg2002TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL IRIS Xᵉ,15.6,1920 x 1080,12,16,65,69990
Samsung Galaxy Book2 Pro 360 15 Laptop,Samsung,12th Gen Core i7,16,512,0,Windows,INTEL IRIS XE,15.6,1080 x 1920,8,16,74,129990
Dell Vostro 3510 Laptop,Dell,11th Gen Core i3,8,256,1000,Windows,INTEL UHD,15.6,1920 x 1080,2,4,56,37990
Asus VivoBook K15 OLED KM513UA-L503WS Laptop,Asus,Ryzen 5 5500U,8,256,1000,Windows,AMD RADEON AMD,15.6,1920 x 1080,6,12,65,47990
HP 14s-fq1092au Laptop,HP,Ryzen 5 5500U,8,512,0,Windows,AMD RADEON AMD,14.0,1920 x 1080,6,12,65,46058
Microsoft Surface Laptop Go 1943 THJ-00023 Laptop,Microsoft,10th Gen Core i5,8,256,0,Windows,INTEL INTEGRATED UHD,12.4,1536 x 1024,4,8,55,67000
HP 245 G8 689T3PA Laptop,HP,AMD Ryzen 3 3250U,8,512,0,Windows,AMD RADEON,14.0,1366 x 768,2,4,59,27989
Lenovo IdeaPad 3i ‎82RJ005BUS Laptop,Lenovo,12th Gen Core i5,8,256,0,Windows,INTEL IRIS XE INTEGRATED,14.0,1920 x 1080,10,12,62,49990
Apple MacBook Pro 16 inch Laptop,Apple,M2 Max 12-core CPU,32,1000,0,Mac,38-CORE GPU,16.2,3456 x 2234,12,0,66,349900
Samsung Galaxy Book 2 NP550XED-KA3IN Laptop,Samsung,12th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,10,12,63,72990
Asus VivoBook 15 K513EP-BQ1093T Laptop,Asus,11th Gen Core i5,8,512,0,Windows,2 GBNVIDIA MX330,15.6,1920 x 1080,4,8,54,45990
Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop,Lenovo,11th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,4,8,72,54990
Asus VivoBook 14 X415EA-EK701WS Laptop,Asus,11th Gen Core i7,16,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,4,8,69,56990
Asus VivoBook 14 2022 X1402ZA-EK312WS Laptop,Asus,12th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,1920 x 1080,10,12,61,40990
HP 247 G8 600A9PA Laptop,HP,AMD Ryzen 3 5300U,8,512,0,Windows,AMD RADEON,14.0,1366 x 768,4,8,61,32999
Asus Vivobook Pro 16 OLED K6602HC-N1902WS Gaming Laptop,Asus,11th Gen Core i9,16,512,0,Windows,4 GB NVIDIA RTX 3050,16.0,1200 x 1920,8,16,75,87990
Acer Swift 3 OLED SF314-71 NX.KAVSI.001 Laptop,Acer,12th Gen Core i7,16,1000,0,Windows,INTEL INTEGRATED IRIS XE,14.0,2880 x 1800,14,20,69,115999
Dell Latitude 3430 Laptop,Dell,12th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,14.0,1366 x 768,10,12,59,108000
HP Pavilion 15-eg2018TX Laptop,HP,12th Gen Core i5,16,512,0,Windows,2 GBNVIDIA MX550,15.6,1920 x 1080,10,12,56,75070
Microsoft Surface Pro 9 QEZ-00065 Laptop,Microsoft,12th Gen Core i5,8,256,0,Windows,INTEL IRIS XE,13.0,2880 x 1920,10,12,51,99999
HP 247 G8 ‎6B5R3PA Laptop,HP,AMD Ryzen 3 5300U,8,512,0,DOS,AMD RADEON,14.0,1366 x 768,4,8,56,30020
HP Omen 16-n0079AX Gaming Laptop,HP,AMD Ryzen 7 6800H,16,512,0,Windows,8 GB AMD RADEON RX 6650M,16.1,1920 x 1080,8,16,81,108290
Asus VivoBook 14 2022 X1402ZA-MW511WS Laptop,Asus,12th Gen Core i5,16,512,0,Windows,INTEL INTEGRATED IRIS XE,14.0,1920 x 1080,12,16,74,66990
HP 14s-dr3001TU Laptop,HP,Pentium Silver N6000,8,256,0,Windows,INTEL UHD,14.0,1366 x 768,4,4,51,30990
Asus VivoBook 14 X415JA-EK522WS Laptop,Asus,10th Gen Core i5,8,512,0,Windows,INTEL UHD,14.0,1920 x 1080,4,8,60,41990
Lenovo IdeaPad Gaming 3 15IAH7 82S900R6IN Laptop,Lenovo,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,12,75,80990
Acer Predator Helios 300 PH315-55 Gaming Laptop,Acer,12th Gen Core i9,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,2560 x 1440,14,20,76,158990
Acer Extensa 15 EX215-54 Laptop,Acer,11th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,50,33990
Asus ProArt StudioBook Pro 16 OLED H7600ZM-L701WS Laptop,Asus,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,16.0,3840 x 2400,14,20,88,198490
Asus VivoBook 15 X515JA-EJ382WS Laptop,Asus,10th Gen Core i3,8,512,0,Windows,INTEL INTEGRATED UHD,15.6,1920 x 1080,2,4,55,33575
MSI Bravo 15 B5DD-410IN Gaming Laptop,MSI,Ryzen 5 5600H,8,512,0,Windows,4 GB AMD RADEON RX 5500M,15.6,1920 x 1080,6,12,68,48890
Infinix INBook X1 Neo Laptop,Infinix,Celeron N5100,4,128,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,4,0,47,22990
Asus TUF Dash F15 2022 FX517ZC-HN108WS Gaming Laptop,Asus,12th Gen Core i7,16,1000,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,10,16,76,95990
Asus VivoBook 15 X515EA-EJ522WS Laptop,Asus,11th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,4,8,61,46990
Asus Vivobook 15 2022 X1502ZA-EZ311WS Touch Laptop,Asus,12th Gen Core i3,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,59,43879
HP 14s-dy2507TU Laptop,HP,11th Gen Core i3,8,256,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,2,4,55,35490
HP Pavilion 15s-fq5112TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,10,12,55,62490
Asus TUF Gaming F15,Asus,2022) FX507ZE-HN038W Gaming Laptop,16,512,0,Windows,4 GB NVIDIA RTX 3050-TI,15.6,1920 x 1080,14,20,79,94990
Asus ROG Strix G17 2022 G713IE-HX040W Gaming Laptop,Asus,AMD Ryzen 7 4800H,16,1000,0,Windows,4 GB NVIDIA RTX 3050 TI,17.3,1920 x 1080,8,16,75,87990
Infinix INBook X1 Neo XL22 Laptop,Infinix,Celeron N5100,8,256,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,4,0,50,29990
Asus TUF Dash F15 2022 FX517ZC-HN083WS Gaming Laptop,Asus,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1080 x 1920,8,12,67,77990
Acer Nitro 5 AN515-56 Gaming Laptop,Acer,11th Gen Core i5,16,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,6,12,73,62990
Acer Aspire 5 A515-57G Gaming Laptop,Acer,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 2050,15.6,1920 x 1080,12,16,67,59999
Lenovo IdeaPad Slim 1 82R1004AIN Laptop,Lenovo,AMD Ryzen 5 3500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,4,8,61,40026
Acer Aspire 7 A715-75G NH.QGBSI.001 Gaming Laptop,Acer,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,12,16,69,57990
Lenovo IdeaPad Gaming 3 82K201ULIN Laptop,Lenovo,Ryzen 5 5600H,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,75,71990
Asus TUF Dash F15 2022 FX517ZC-HN035WS Gaming Laptop,Asus,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,12,72,75990
Asus Vivobook Pro 14 OLED M3400QA-KM512WS Gaming Laptop,Asus,Ryzen 5 5600H,16,512,0,Windows,AMD RADEON,14.0,2880 x 1800,6,12,72,59990
HP Pavilion 15-eg2039TU Laptop,HP,12th Gen Core i7,16,1000,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,12,16,66,85990
HP Pavilion 14-dv2041TU Laptop,HP,12th Gen Core i5,16,512,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,10,12,62,71990
MSI Gaming Crosshair 15 B12UEZ-677IN Laptop,MSI,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA RTX 3060,15.6,2560 x 1440,14,20,84,111000
Apple MacBook Pro 2022 Laptop,Apple,Apple M2,8,512,0,Mac,10 CORE GPU,13.3,2560 x 1600,8,0,45,139990
HP Pavilion 14-dv2015TU Laptop,HP,12th Gen Core i7,16,1000,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,10,12,65,84990
Asus Vivobook 15 2022 X1502ZA-BQ502WS Laptop,Asus,12th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED IRIS XE,15.6,1920 x 1080,12,16,63,56825
Dell G15-5511 Gaming Laptop,Dell,11th Gen Core i5,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,6,12,69,68102
Dell G15-5520 Laptop,Dell,12th Gen Core i7,16,512,0,Windows,4 GB NVIDIA RTX 3050 TI,15.6,1920 x 1080,14,20,75,108400
Acer Aspire 3 A315-58 Laptop,Acer,11th Gen Core i5,8,512,0,Windows,INTEL IRIS XE,15.6,1920 x 1080,4,8,53,43490
HP Pavilion 15-EC2048AX Gaming Laptop,HP,Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA RTX 3050TI,15.6,1920 x 1080,6,12,72,69028
Dell Inspiron 3525 Laptop,Dell,Athlon Silver 3050U,8,256,0,Windows,AMD RADEON,15.6,1920 x 1080,2,2,48,33000
Avita Satus Ultimus S111 Laptop,Avita,Celeron N4020,4,128,0,Windows,INTEL INTEGRATED UHD,14.1,1920 x 1080,2,2,47,16990
Asus Vivobook 13 Slate OLED T3300KA-LQ122WS Laptop,Asus,Pentium Silver N6000,4,0,128,Windows,INTEL UHD,13.3,1920 x 1080,4,4,51,29990
Asus VivoBook 15 X515EA-EJ322WS Laptop,Asus,11th Gen Core i3,8,512,0,Windows,INTEL UHD,15.6,1920 x 1080,2,4,50,35990
Lenovo Ideapad 15ALC6 82KU017KIN Laptop,Lenovo,Ryzen 5 5500U,8,512,0,Windows,AMD RADEON,15.6,1920 x 1080,6,12,59,47799
HP Pavilion 15-EC2146AX Gaming Laptop,HP,Ryzen 7 5800H,16,512,0,Windows,4 GB NVIDIA RTX 3050,15.6,1920 x 1080,8,16,72,73758
Infinix INBook X1 XL11 Laptop,Infinix,10th Gen Core i5,8,512,0,Windows,INTEL INTEGRATED UHD,14.0,1920 x 1080,4,8,48,37490
Apple MacBook Pro 14 inch MKGP3HN Laptop,Apple,M1 Pro 8-core CPU,16,512,0,Mac,14-CORE GPU,14.2,3024 x 1964,8,0,53,171594
HP Victus 16-e0162AX Gaming Laptop,HP,Ryzen 5 5600H,8,512,0,Windows,4 GB AMD RADEON RX 5500M,16.1,1920 x 1080,6,12,65,61490
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i5,8,512,0,Windows,2 GBNVIDIA MX350,15.6,1920 x 1080,4,8,61,59306
Dell Latitude 5420 Laptop,Dell,11th Gen Core i5,8,256,0,Windows,INTEL IRIS XE,14.0,1920 x 1080,4,8,60,74500
HP Pavilion 15-DK2100TX Gaming Laptop,HP,11th Gen Core i5,8,256,1000,Windows,4 GB NVIDIA GTX 1650,15.6,1920 x 1080,4,8,75,66990
